Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
25-50€;teufel-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;12.33;447.53;14.0;0.0;581.7;134.17;-6.73
 0- 5€;teufel-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;0.33;-0.21;1.0;0.0;4.64;4.85;2.41
 > 50€;teufel-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;5.0;232.74;5.0;0.0;227.61;35.2;-72.73
10-25€;teufel-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;1.0;21.14;2.0;0.0;37.37;16.23;7.92
25-50€;teufel-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;1.66;95.26;6.0;0.0;135.31;40.05;8.81
 0- 5€;partsrunner-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;19.68;57.46;119.0;0.0;551.92;504.2;285.87
 5-10€;partsrunner-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;15.53;275.58;70.0;0.0;563.88;296.73;180.9
 > 50€;partsrunner-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;8.7;970.32;21.0;0.0;1084.31;178.59;9.49
10-25€;partsrunner-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;19.96;616.2;110.0;0.0;1056.44;458.3;285.12
25-50€;partsrunner-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;10.1;635.28;38.0;0.0;734.97;190.76;34.08
 0- 5€;partsrunner-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;4.0;11.8;5.0;0.0;53.18;41.38;20.19
 5-10€;partsrunner-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;3.0;11.18;3.0;0.0;28.79;20.48;3.39
 > 50€;partsrunner-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;3.0;380.82;3.0;0.0;441.82;61.0;-25.22
10-25€;partsrunner-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;7.5;150.46;8.0;0.0;236.09;85.63;14.6
25-50€;partsrunner-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;4.5;170.01;5.0;0.0;222.09;52.08;-2.65
 0- 5€;partsrunner-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;10.98;30.13;27.0;0.0;153.05;124.32;68.34
 5-10€;partsrunner-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;1.34;51.84;8.0;0.0;82.83;30.99;9.5
 > 50€;partsrunner-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;2.0;279.49;2.0;0.0;310.03;30.54;-26.58
10-25€;partsrunner-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;9.4;211.57;20.0;0.0;312.46;104.66;16.17
25-50€;partsrunner-daparto;2017-01-07;2017;2017-01-01;2017-01-01;5;5.25;225.41;12.0;0.0;295.28;75.71;3.71
 0- 5€;carmaster-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;11.5;29.44;12.0;0.0;129.23;99.79;53.16
 5-10€;carmaster-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;6.0;56.51;8.0;0.0;132.16;75.65;44.12
 > 50€;carmaster-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;9.0;634.85;9.0;0.0;689.77;95.85;-18.8
10-25€;carmaster-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;13.5;194.75;15.0;0.0;327.86;144.44;56.51
25-50€;carmaster-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;7.0;271.02;7.0;0.0;349.02;78.0;22.58
 0- 5€;teufel-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;65.66;164.68;395.0;0.0;1848.97;1704.06;1147.59
 5-10€;teufel-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;33.65;701.77;120.0;0.0;1379.62;685.3;414.44
 > 50€;teufel-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;29.03;4369.91;84.0;0.0;5039.69;771.02;76.0
10-25€;teufel-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;50.06;2066.4;192.0;0.0;3191.79;1167.53;643.76
25-50€;teufel-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;35.49;2543.46;109.0;0.0;3254.67;803.65;297.93
 0- 5€;teufel-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;136.49;168.17;155.0;0.0;1053.26;893.97;275.55
 5-10€;teufel-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;42.0;256.14;48.0;0.0;580.13;335.07;79.26
 > 50€;teufel-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;5.5;460.93;7.0;0.0;542.81;81.88;-35.89
10-25€;teufel-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;16.0;230.78;24.0;0.0;424.94;194.16;59.8
25-50€;teufel-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;23.0;704.82;23.0;0.0;889.19;202.85;-71.24
 0- 5€;teufel-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;1.1;6.08;4.0;0.0;24.16;18.08;9.76
 5-10€;teufel-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;0.2;9.14;1.0;0.0;7.66;-1.48;-3.37
 > 50€;teufel-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;4.2;542.02;6.0;0.0;625.33;83.31;-49.88
25-50€;teufel-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;3.5;119.81;5.0;0.0;140.39;34.79;-25.04
 0- 5€;partsrunner-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;28.24;50.29;206.0;0.0;777.16;735.55;527.59
 5-10€;partsrunner-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;19.0;277.08;65.0;0.0;564.79;297.05;173.4
 > 50€;partsrunner-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;7.74;674.33;30.0;0.0;800.87;173.02;54.23
10-25€;partsrunner-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;16.78;621.2;83.0;0.0;989.99;382.77;215.36
25-50€;partsrunner-shop;2017-01-08;2017;2017-01-01;2017-01-01;6;13.24;621.17;35.0;0.0;806.6;206.13;71.84
 0- 5€;partsrunner-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;12.0;21.03;14.0;0.0;128.04;108.13;45.29
 5-10€;partsrunner-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;9.0;59.83;9.0;0.0;143.32;83.49;31.67
 > 50€;partsrunner-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;5.0;353.31;7.0;0.0;436.15;82.84;-10.82
10-25€;partsrunner-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;12.0;188.56;12.0;0.0;288.97;111.57;8.17
25-50€;partsrunner-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;2.0;56.95;2.0;0.0;77.83;20.88;-1.17
 0- 5€;partsrunner-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;18.1;11.85;57.0;0.0;209.81;209.18;110.51
 5-10€;partsrunner-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;7.28;64.21;15.0;0.0;134.78;78.2;26.99
 > 50€;partsrunner-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;4.83;309.71;9.0;0.0;347.29;64.18;-39.2
10-25€;partsrunner-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;11.75;218.45;32.0;0.0;332.23;145.41;15.75
25-50€;partsrunner-daparto;2017-01-08;2017;2017-01-01;2017-01-01;6;5.03;286.55;16.0;0.0;381.92;95.37;19.34
 0- 5€;carmaster-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;11.0;23.29;11.0;0.0;107.52;86.73;38.62
 5-10€;carmaster-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;11.5;78.45;13.0;0.0;199.4;120.95;56.28
 > 50€;carmaster-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;5.0;335.39;6.0;0.0;403.79;68.4;19.23
10-25€;carmaster-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;8.5;165.38;9.0;0.0;259.63;94.25;41.97
25-50€;carmaster-ebay;2017-01-08;2017;2017-01-01;2017-01-01;6;9.0;323.8;9.0;0.0;424.68;100.88;38.05
 0- 5€;teufel-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;91.88;386.91;485.0;0.0;2817.12;2450.22;1342.38
 5-10€;teufel-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;38.42;662.7;143.0;0.0;1392.69;760.12;454.83
 > 50€;teufel-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;57.48;8572.09;136.0;0.0;9673.27;1231.25;-72.78
10-25€;teufel-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;67.8;2639.38;253.0;0.0;4149.88;1561.37;905.53
25-50€;teufel-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;47.39;4001.91;167.0;0.0;5107.1;1163.26;401.31
 0- 5€;teufel-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;146.5;182.86;166.0;0.0;1146.47;969.82;282.53
 5-10€;teufel-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;40.0;289.29;46.0;0.0;613.23;326.56;95.07
 > 50€;teufel-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;19.0;1269.13;22.0;0.0;1521.94;266.96;-88.67
10-25€;teufel-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;18.5;252.59;23.0;0.0;424.44;178.75;39.45
25-50€;teufel-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;25.0;748.81;26.0;0.0;943.88;218.8;-67.83
 0- 5€;teufel-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;2.66;9.82;4.0;0.0;40.76;30.94;18.8
 5-10€;teufel-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;2.0;18.88;3.0;0.0;44.22;25.34;13.9
 > 50€;teufel-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;5.0;730.46;5.0;0.0;901.89;171.43;-17.14
10-25€;teufel-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;2.33;39.58;6.0;0.0;74.77;35.19;17.92
25-50€;teufel-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;4.0;191.17;9.0;0.0;252.97;61.8;-12.46
 0- 5€;partsrunner-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;57.51;-114.06;386.0;0.0;1281.33;1411.66;946.28
 5-10€;partsrunner-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;21.24;370.15;73.0;0.0;707.48;345.32;215.35
 > 50€;partsrunner-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;30.85;3314.26;56.0;0.0;3731.13;549.34;54.32
10-25€;partsrunner-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;36.48;1094.7;115.0;0.0;1655.09;590.2;292.54
25-50€;partsrunner-shop;2017-01-09;2017;2017-01-01;2017-01-01;0;27.82;1410.71;77.0;0.0;1811.1;449.66;142.66
 0- 5€;partsrunner-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;10.0;18.37;10.0;0.0;99.08;80.71;31.19
 5-10€;partsrunner-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;5.0;30.16;5.0;0.0;67.53;40.32;10.43
 > 50€;partsrunner-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;13.0;1013.6;14.0;0.0;1193.4;194.91;-79.09
10-25€;partsrunner-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;12.0;184.7;14.0;0.0;301.56;126.46;20.0
25-50€;partsrunner-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;14.0;442.62;15.0;0.0;596.49;162.48;2.08
 0- 5€;partsrunner-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;10.57;40.97;45.0;0.0;206.85;167.31;98.44
 5-10€;partsrunner-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;8.96;84.77;19.0;0.0;186.23;103.57;33.27
 > 50€;partsrunner-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;12.99;1072.84;28.0;0.0;1203.35;170.62;-112.02
10-25€;partsrunner-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;13.19;350.34;36.0;0.0;526.89;180.29;32.12
25-50€;partsrunner-daparto;2017-01-09;2017;2017-01-01;2017-01-01;0;8.23;402.14;14.0;0.0;485.21;91.33;-33.97
 0- 5€;carmaster-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;11.0;15.44;11.0;0.0;106.43;90.99;49.27
 5-10€;carmaster-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;3.0;27.76;3.0;0.0;56.71;28.95;15.22
 > 50€;carmaster-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;17.0;1547.33;18.0;0.0;1724.32;228.52;-25.87
10-25€;carmaster-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;12.0;147.49;13.0;0.0;266.4;124.93;58.49
25-50€;carmaster-ebay;2017-01-09;2017;2017-01-01;2017-01-01;0;7.0;225.21;7.0;0.0;285.85;68.05;16.53
 0- 5€;partsrunner-tyre24;2017-01-09;2017;2017-01-01;2017-01-01;0;0.5;3.83;1.0;0.0;10.55;6.72;-16.91
 5-10€;partsrunner-tyre24;2017-01-09;2017;2017-01-01;2017-01-01;0;1.0;13.28;2.0;0.0;28.32;15.04;8.76
 > 50€;partsrunner-tyre24;2017-01-09;2017;2017-01-01;2017-01-01;0;2.5;413.34;4.0;0.0;502.19;88.85;-1.39
10-25€;partsrunner-tyre24;2017-01-09;2017;2017-01-01;2017-01-01;0;4.0;110.47;8.0;0.0;163.4;52.93;-9.19
 0- 5€;teufel-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;75.54;283.8;386.0;0.0;2215.67;1940.47;1081.82
 5-10€;teufel-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;30.84;659.72;121.0;0.0;1335.6;690.62;396.28
 > 50€;teufel-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;35.38;5376.52;82.0;0.0;5993.87;738.11;-150.83
10-25€;teufel-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;75.26;2782.15;234.0;0.0;4290.84;1565.59;783.21
25-50€;teufel-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;42.84;3190.83;119.0;0.0;4099.32;966.47;291.12
 0- 5€;teufel-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;127.99;145.51;150.0;0.0;1010.59;874.01;272.58
 5-10€;teufel-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;27.0;175.81;30.0;0.0;392.7;219.51;62.76
 > 50€;teufel-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;20.0;1249.28;29.0;0.0;1522.32;339.53;-87.45
10-25€;teufel-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;19.0;225.67;30.0;0.0;431.47;222.51;52.3
25-50€;teufel-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;31.0;941.69;31.0;0.0;1195.1;278.14;-70.03
 0- 5€;teufel-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;2.0;3.43;3.0;0.0;24.92;21.49;13.33
 > 50€;teufel-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;5.0;407.02;6.0;0.0;456.23;49.21;-85.7
10-25€;teufel-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;3.0;36.61;3.0;0.0;67.21;30.6;13.31
25-50€;teufel-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;3.0;79.87;4.0;0.0;103.24;31.37;-4.08
 0- 5€;partsrunner-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;36.32;-70.63;395.0;0.0;1263.31;1346.7;1008.29
 5-10€;partsrunner-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;19.94;250.53;66.0;0.0;524.88;304.83;166.08
 > 50€;partsrunner-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;20.83;2589.19;39.0;0.0;2987.25;487.81;96.99
10-25€;partsrunner-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;33.58;931.86;124.0;0.0;1477.6;610.21;335.08
25-50€;partsrunner-shop;2017-01-10;2017;2017-01-01;2017-01-01;1;29.3;1237.5;81.0;0.0;1563.26;433.78;112.67
 0- 5€;partsrunner-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;8.0;13.69;8.0;0.0;78.81;65.12;25.08
 5-10€;partsrunner-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;3.0;22.47;4.0;0.0;58.35;35.88;9.26
 > 50€;partsrunner-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;13.0;1233.12;15.0;0.0;1480.61;247.49;-67.71
10-25€;partsrunner-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;6.0;94.42;7.0;0.0;165.18;70.76;24.02
25-50€;partsrunner-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;11.0;384.5;13.0;0.0;520.01;135.51;-0.62
 0- 5€;partsrunner-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;12.06;-13.6;40.0;0.0;127.47;148.39;87.26
 5-10€;partsrunner-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;5.16;38.09;14.0;0.0;78.14;48.85;4.33
 > 50€;partsrunner-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;7.83;346.97;15.0;0.0;366.09;85.16;-86.17
10-25€;partsrunner-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;9.95;192.52;23.0;0.0;293.87;121.25;9.32
25-50€;partsrunner-daparto;2017-01-10;2017;2017-01-01;2017-01-01;1;9.01;205.42;26.0;0.0;272.92;100.37;-13.63
 0- 5€;carmaster-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;7.5;13.22;9.0;0.0;82.87;72.14;34.05
 5-10€;carmaster-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;2.0;18.86;4.0;0.0;54.43;35.57;25.0
 > 50€;carmaster-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;10.0;685.77;13.0;0.0;838.6;152.83;36.92
10-25€;carmaster-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;12.5;183.75;15.0;0.0;325.07;152.59;61.85
25-50€;carmaster-ebay;2017-01-10;2017;2017-01-01;2017-01-01;1;5.0;174.37;5.0;0.0;220.94;46.57;7.97
 0- 5€;partsrunner-tyre24;2017-01-10;2017;2017-01-01;2017-01-01;1;0.66;-0.96;2.0;0.0;15.78;16.74;6.59
 > 50€;partsrunner-tyre24;2017-01-10;2017;2017-01-01;2017-01-01;1;3.5;317.83;9.0;0.0;411.36;93.53;24.28
10-25€;partsrunner-tyre24;2017-01-10;2017;2017-01-01;2017-01-01;1;0.33;17.71;1.0;0.0;24.47;6.76;-5.01
25-50€;partsrunner-tyre24;2017-01-10;2017;2017-01-01;2017-01-01;1;2.49;161.83;7.0;0.0;207.94;46.11;9.32
 0- 5€;teufel-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;78.31;56.33;476.0;0.0;2168.35;2125.33;1272.66
 5-10€;teufel-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;28.15;575.14;113.0;0.0;1168.35;605.92;374.46
 > 50€;teufel-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;34.28;4583.2;78.0;0.0;5248.43;763.0;34.37
10-25€;teufel-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;54.17;2124.16;198.0;0.0;3280.89;1195.78;617.15
25-50€;teufel-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;47.92;3412.02;146.0;0.0;4412.77;1055.08;324.74
 0- 5€;teufel-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;115.0;140.52;137.0;0.0;942.47;806.04;260.19
 5-10€;teufel-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;47.0;324.26;56.0;0.0;727.07;408.93;112.56
 > 50€;teufel-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;13.0;981.67;14.0;0.0;1164.81;198.55;-65.75
10-25€;teufel-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;16.0;216.75;21.0;0.0;357.73;158.83;18.11
25-50€;teufel-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;23.0;695.47;29.0;0.0;918.57;244.29;-37.52
 0- 5€;teufel-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;2.0;0.32;2.0;0.0;19.84;19.52;12.22
 5-10€;teufel-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;1.5;12.99;2.0;0.0;34.25;21.26;9.51
 > 50€;teufel-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;7.0;739.06;10.0;0.0;799.38;60.32;-104.76
10-25€;teufel-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;0.5;19.98;1.0;0.0;28.8;8.82;0.47
 0- 5€;partsrunner-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;28.36;-2.89;188.0;0.0;734.14;746.75;439.65
 5-10€;partsrunner-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;18.3;199.6;64.0;0.0;453.18;281.89;136.19
 > 50€;partsrunner-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;29.43;3232.91;84.0;0.0;3727.27;651.7;143.84
10-25€;partsrunner-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;25.78;617.18;90.0;0.0;976.39;434.97;211.14
25-50€;partsrunner-shop;2017-01-11;2017;2017-01-01;2017-01-01;2;19.95;1023.23;70.0;0.0;1253.22;351.46;101.31
 0- 5€;partsrunner-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;12.5;33.03;16.0;0.0;164.6;131.57;63.15
 5-10€;partsrunner-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;4.0;18.19;6.0;0.0;60.35;46.22;14.37
 > 50€;partsrunner-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;13.0;1785.63;13.0;0.0;2018.64;233.01;-168.84
10-25€;partsrunner-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;15.5;259.98;16.0;0.0;428.51;168.53;38.97
25-50€;partsrunner-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;7.0;192.81;7.0;0.0;257.56;72.71;-6.82
 0- 5€;partsrunner-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;9.06;-16.71;41.0;0.0;115.31;131.26;80.79
 5-10€;partsrunner-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;5.08;41.08;12.0;0.0;93.55;56.41;17.77
 > 50€;partsrunner-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;5.33;361.19;9.0;0.0;391.39;63.12;-51.39
10-25€;partsrunner-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;12.15;215.78;29.0;0.0;330.58;133.96;8.4
25-50€;partsrunner-daparto;2017-01-11;2017;2017-01-01;2017-01-01;2;3.32;270.44;8.0;0.0;333.07;62.63;-5.09
 0- 5€;carmaster-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;11.0;-2.79;12.0;0.0;75.78;83.29;41.66
 5-10€;carmaster-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;6.5;53.22;7.0;0.0;120.79;67.57;30.49
 > 50€;carmaster-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;8.0;670.81;10.0;0.0;786.05;134.21;13.58
10-25€;carmaster-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;7.0;110.04;7.0;0.0;187.61;77.57;40.83
25-50€;carmaster-ebay;2017-01-11;2017;2017-01-01;2017-01-01;2;15.5;496.44;17.0;0.0;649.12;169.03;54.16
 0- 5€;partsrunner-tyre24;2017-01-11;2017;2017-01-01;2017-01-01;2;0.5;1.72;1.0;0.0;7.55;5.83;3.64
 5-10€;partsrunner-tyre24;2017-01-11;2017;2017-01-01;2017-01-01;2;2.0;12.93;2.0;0.0;30.9;17.97;9.14
 > 50€;partsrunner-tyre24;2017-01-11;2017;2017-01-01;2017-01-01;2;2.0;379.87;2.0;0.0;435.95;56.08;-23.06
10-25€;partsrunner-tyre24;2017-01-11;2017;2017-01-01;2017-01-01;2;0.5;10.56;1.0;0.0;18.24;7.68;3.94
25-50€;partsrunner-tyre24;2017-01-11;2017;2017-01-01;2017-01-01;2;1.0;31.08;2.0;0.0;47.38;16.3;7.26
 0- 5€;teufel-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;67.37;237.98;355.0;0.0;1994.66;1765.74;901.67
 5-10€;teufel-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;20.8;405.27;88.0;0.0;870.06;474.61;262.33
 > 50€;teufel-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;37.27;5232.99;70.0;0.0;5771.12;660.25;-139.67
10-25€;teufel-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;51.12;1764.54;167.0;0.0;2798.04;1083.23;573.2
25-50€;teufel-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;38.19;2685.37;113.0;0.0;3483.62;868.89;246.65
 0- 5€;teufel-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;100.5;105.56;113.0;0.0;766.42;665.21;202.78
 5-10€;teufel-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;22.83;145.58;27.0;0.0;330.88;192.46;43.97
 > 50€;teufel-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;8.0;587.73;12.0;0.0;715.92;128.19;-23.34
10-25€;teufel-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;15.66;226.23;21.0;0.0;385.77;164.9;44.99
25-50€;teufel-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;25.0;726.72;27.0;0.0;920.41;230.89;-57.63
 0- 5€;teufel-daparto;2017-01-12;2017;2017-01-01;2017-01-01;3;1.69;18.87;6.0;0.0;52.29;33.42;20.01
 5-10€;teufel-daparto;2017-01-12;2017;2017-01-01;2017-01-01;3;1.22;21.06;3.0;0.0;40.45;19.39;9.9
 > 50€;teufel-daparto;2017-01-12;2017;2017-01-01;2017-01-01;3;5.36;673.07;7.0;0.0;703.85;44.84;-114.13
10-25€;teufel-daparto;2017-01-12;2017;2017-01-01;2017-01-01;3;1.47;61.17;4.0;0.0;93.11;31.94;8.69
25-50€;teufel-daparto;2017-01-12;2017;2017-01-01;2017-01-01;3;6.25;246.96;12.0;0.0;344.92;97.96;20.89
 0- 5€;partsrunner-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;36.08;12.36;266.0;0.0;860.84;861.18;657.19
 5-10€;partsrunner-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;16.41;317.0;73.0;0.0;610.41;308.2;193.67
 > 50€;partsrunner-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;22.29;3302.51;38.0;0.0;3710.04;425.31;29.36
10-25€;partsrunner-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;37.59;1070.76;160.0;0.0;1747.1;720.32;419.88
25-50€;partsrunner-shop;2017-01-12;2017;2017-01-01;2017-01-01;3;23.42;1150.69;84.0;0.0;1481.3;382.95;131.03
 0- 5€;partsrunner-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;5.0;-3.82;6.0;0.0;42.56;46.38;24.09
 5-10€;partsrunner-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;3.0;24.31;3.0;0.0;53.17;28.86;10.63
 > 50€;partsrunner-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;4.0;514.36;4.0;0.0;581.35;66.99;-46.63
10-25€;partsrunner-ebay;2017-01-12;2017;2017-01-01;2017-01-01;3;3.0;25.28;3.0;0.0;42.51;23.5;-2.19
