Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
25-50€;teufel-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;31.19;2620.97;128.0;0.0;3410.47;862.3;341.81
 0- 5€;teufel-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;103.49;100.3;122.0;0.0;789.77;694.97;208.53
 5-10€;teufel-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;24.0;162.48;29.0;0.0;369.02;209.38;60.49
 > 50€;teufel-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;11.0;553.71;14.0;0.0;555.69;123.29;-159.92
10-25€;teufel-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;9.5;118.55;10.0;0.0;204.03;89.22;16.23
25-50€;teufel-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;12.0;404.58;12.0;0.0;517.83;113.25;-17.98
 0- 5€;teufel-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;0.5;-6.15;6.0;0.0;10.8;16.95;13.65
 > 50€;teufel-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;3.25;270.18;4.0;0.0;292.0;33.96;-40.73
10-25€;teufel-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;2.25;50.9;5.0;0.0;90.51;39.61;7.11
25-50€;teufel-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;3.0;114.89;3.0;0.0;153.94;39.05;7.0
 0- 5€;partsrunner-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;25.1;23.85;102.0;0.0;441.22;425.56;237.97
 5-10€;partsrunner-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;14.81;155.55;32.0;0.0;318.02;168.61;92.46
 > 50€;partsrunner-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;17.0;2949.61;33.0;0.0;3410.08;475.98;87.9
10-25€;partsrunner-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;25.54;626.46;77.0;0.0;1003.63;408.63;204.82
25-50€;partsrunner-shop;2017-01-06;2017;2017-01-01;2017-01-01;4;14.45;853.11;45.0;0.0;1147.91;316.98;152.13
 0- 5€;partsrunner-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;7.0;7.43;7.0;0.0;56.1;50.96;17.84
 5-10€;partsrunner-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;3.0;19.64;3.0;0.0;47.13;27.49;10.34
 > 50€;partsrunner-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;8.0;546.74;9.0;0.0;594.13;86.42;-104.02
10-25€;partsrunner-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;9.0;142.18;10.0;0.0;244.78;107.47;21.49
25-50€;partsrunner-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;4.0;122.25;4.0;0.0;149.22;34.96;-14.27
 0- 5€;partsrunner-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;12.0;25.25;22.0;0.0;135.48;110.96;60.65
 5-10€;partsrunner-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;6.83;93.67;19.0;0.0;206.81;115.92;56.52
 > 50€;partsrunner-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;7.0;421.34;10.0;0.0;469.53;77.87;-59.74
10-25€;partsrunner-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;11.65;263.06;31.0;0.0;416.43;164.23;45.41
25-50€;partsrunner-daparto;2017-01-06;2017;2017-01-01;2017-01-01;4;9.5;388.23;13.0;0.0;489.8;101.57;-5.16
 0- 5€;carmaster-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;7.0;7.44;7.0;0.0;56.68;51.85;24.85
 5-10€;carmaster-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;4.0;30.06;4.0;0.0;67.95;37.89;17.75
 > 50€;carmaster-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;8.0;552.15;8.0;0.0;640.06;100.42;9.55
10-25€;carmaster-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;7.0;103.51;9.0;0.0;186.12;87.1;48.09
25-50€;carmaster-ebay;2017-01-06;2017;2017-01-01;2017-01-01;4;7.0;175.8;7.0;0.0;210.7;53.17;-0.22
 5-10€;partsrunner-tyre24;2017-01-06;2017;2017-01-01;2017-01-01;4;1.0;9.85;1.0;0.0;18.83;8.98;0.5
10-25€;partsrunner-tyre24;2017-01-06;2017;2017-01-01;2017-01-01;4;2.0;48.43;3.0;0.0;80.13;31.7;8.23
25-50€;partsrunner-tyre24;2017-01-06;2017;2017-01-01;2017-01-01;4;1.0;43.41;1.0;0.0;68.79;25.38;10.75
 0- 5€;teufel-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;36.06;141.35;181.0;0.0;892.04;761.96;514.45
 5-10€;teufel-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;13.15;253.85;44.0;0.0;517.09;265.92;160.91
 > 50€;teufel-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;19.24;2509.47;40.0;0.0;2860.97;375.78;18.83
10-25€;teufel-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;42.62;1336.96;118.0;0.0;2093.27;800.41;407.22
25-50€;teufel-shop;2017-01-07;2017;2017-01-01;2017-01-01;5;17.64;1256.54;66.0;0.0;1694.83;449.36;154.4
 0- 5€;teufel-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;89.83;105.15;98.0;0.0;669.31;569.17;169.84
 5-10€;teufel-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;30.0;207.78;35.0;0.0;467.14;259.36;73.56
 > 50€;teufel-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;3.0;184.56;4.0;0.0;226.93;42.37;-6.25
10-25€;teufel-ebay;2017-01-07;2017;2017-01-01;2017-01-01;5;13.83;212.98;19.0;0.0;370.56;161.67;42.69
